Imatest,4.5.13, , CPIQ Dot Chart Analysis
File,DotPattern_1.PNG
Run date,18-Jul-2017 10:37:10,,Build 2017-02-01

FOV Analysis

Dot Separation, 10.000000, cm,
Target Distance, 100.000000, cm,
HFOV, 88.984253, degrees,
VFOV, 75.001237, degrees,
DFOV, 106.622497, degrees,

Lateral Color Analysis

Image Size in Pixels
Image Height, 1000
Image Width, 1236
Image Radius, 7.949365e+02

Maximum LCA CPIQ Metric, 0.607771
CPIQ Quality Loss, 0.000000
Maximum LCA in Pixels, 0.759714
Number of Dots, 298

Radial Polynomial Coefficients (radius in normalized units), r^3, r^2, r^1, r^0
, 170.634344, -271.624740
, 170.634344, 272.624740
, 172.086972, -205.344269
, 172.086972, 206.344269
, 173.155764, -137.578325
, 173.155764, 138.578325
, 173.843394, -68.828196
, 174.060354, 0.500000
, 173.843394, 69.828196
, 228.579170, -455.477688
, 228.579170, 456.477688
, 231.724379, -395.755775
, 231.724379, 396.755775
, 234.548444, -333.764121
, 234.548444, 334.764121
, 237.005963, -269.709659
, 237.005963, 270.709659
, 238.980121, -203.840095
, 238.980121, 204.840095
, 240.444250, -136.539957
, 240.444250, 137.539957
, 241.336897, -68.273278
, 241.641036, 0.500000
, 241.336897, 69.273278
, 291.360012, -451.777730
, 291.360012, 452.777730
, 295.259132, -392.377525
, 295.259132, 393.377525
, 298.772740, -330.787540
, 298.772740, 331.787540
, 301.768651, -267.209916
, 301.768651, 268.209916
, 304.223486, -201.916596
, 304.223486, 202.916596
, 306.033374, -135.229178
, 306.033374, 136.229178
, 307.119373, -67.625932
, 307.498393, 0.500000
, 307.119373, 68.625932
, 352.520213, -447.355807
, 352.520322, 448.355699
, 357.068694, -388.339421
, 357.068694, 389.339421
, 361.149413, -327.241427
, 361.149413, 328.241430
, 364.644301, -264.251719
, 364.644303, 265.251741
, 367.485714, -199.600512
, 367.485714, 200.600512
, 369.569116, -133.655343
, 369.569116, 134.655343
, 370.859946, -66.803086
, 371.295665, 0.500000
, 370.860042, 67.802956
, 411.841359, -442.318378
, 411.841359, 443.318378
, 416.919392, -383.747954
, 416.919392, 384.747954
, 421.467595, -323.203924
, 421.467595, 324.203924
, 425.370318, -260.870053
, 425.370318, 261.870053
, 428.534445, -196.981990
, 428.534445, 197.981990
, 430.860558, -131.857636
, 430.860558, 132.857636
, 432.277879, -65.901579
, 432.277879, 66.901579
, 432.744913, 0.500000
, 469.179901, -436.786277
, 469.179901, 437.786277
, 474.669745, -378.706775
, 474.669745, 379.706775
, 479.593263, -318.780650
, 479.593263, 319.780650
, 483.804083, -257.171156
, 483.804083, 258.171156
, 487.206604, -194.106576
, 487.206604, 195.106576
, 489.720564, -129.914535
, 489.720564, 130.914535
, 491.237913, -64.891110
, 491.237913, 65.891110
, 491.742478, 0.500000
, 524.503428, -430.885695
, 524.503428, 431.885695
, 530.298700, -373.336935
, 530.298700, 374.336935
, 535.467892, -314.064698
, 535.467776, 315.064840
, 539.888241, -253.234264
, 539.888241, 254.234267
, 543.443841, -191.064545
, 543.443841, 192.064545
, 546.103169, -127.823404
, 546.103169, 128.823404
, 547.706294, -63.837782
, 547.706294, 64.837782
, 548.214709, 0.500000
, 577.822231, -424.737316
, 577.822231, 425.737316
, 583.775775, -367.742958
, 583.775775, 368.742958
, 589.071999, -309.164438
, 589.071999, 310.164438
, 593.614044, -249.161306
, 593.614044, 250.161306
, 597.315714, -187.888589
, 597.315714, 188.888589
, 599.995865, -125.666049
, 599.995865, 126.666049
, 601.671040, -62.765322
, 601.671040, 63.765322




Optical and SMIA TV Distortion Analysis

Image Size in Pixels
Image Height, 1000
Image Width, 1236
Image Radius, 7.949365e+02

Maximum Optical Distortion (as a %), 0.298429
Minimum Optical Distortion (as a %), -11.828152
SMIA TV Distortion (as a %), -7.457676
Grid Rotation Angle (in degrees), 0.000000
CPIQ Distortion Metric (as a %), 13.056169
CPIQ Quality Loss, 4.867311
CPIQ Quality Loss Barrel/Pincushion, 4.867311
CPIQ Quality Loss Wave, 9.210424

Radial Distortion Polynomial Coefficients (radius in normalized units), r^3, r^2, r^1, r^0
, 2.194350e+00, -1.859646e+01, 2.489630e-01, 1.327896e-01

Radial Distortion Polynomial Coefficients (radius in pixels), r^3, r^2, r^1, r^0
, 4.368261e-09, -2.942832e-05, 3.131860e-04, 1.327896e-01

Optical Grid Distortion Values (as a %), Grid size, 15, 18
,-11.828152,-10.616780,-9.488345,-8.467777,-7.577244,-6.805542,-6.223245,-5.833589,-5.643045,-5.640799,-5.826983,-6.212768,-6.791889,-7.561071,-8.449723,-9.468885,-10.596283,-11.806922
,-10.853011,-9.566801,-8.364923,-7.292848,-6.314311,-5.529422,-4.889590,-4.461950,-4.244607,-4.241746,-4.453721,-4.876891,-5.513261,-6.295689,-7.272508,-8.343449,-9.544540,-10.830210
,-9.978746,-8.628039,-7.358265,-6.206443,-5.213092,-4.359717,-3.670802,-3.257079,-2.991322,-2.987568,-3.246323,-3.654897,-4.340213,-5.191385,-6.183456,-7.334517,-8.603874,-9.954348
,-9.220688,-7.814851,-6.514496,-5.290199,-4.250047,-3.355897,-2.670164,-2.174985,-1.935258,-1.929837,-2.160192,-2.649244,-3.331768,-4.224484,-5.264152,-6.488307,-7.788761,-9.194750
,-8.628670,-7.171204,-5.820743,-4.556496,-3.451332,-2.534561,-1.854275,-1.360195,-1.069509,-1.060342,-1.337702,-1.825426,-2.504328,-3.421205,-4.527125,-5.792107,-7.143272,-8.601300
,-8.187866,-6.700793,-5.277273,-4.008546,-2.893464,-1.938918,-1.222467,-0.708037,-0.476732,-0.457629,-0.669518,-1.181555,-1.900978,-2.858524,-3.976037,-5.246541,-6.671307,-8.159332
,-7.916699,-6.407502,-4.989894,-3.690181,-2.546961,-1.582697,-0.851107,-0.456314,0.051454,0.112083,-0.383831,-0.795133,-1.537437,-2.508068,-3.655298,-4.957609,-6.376974,-7.887419
,-7.817679,-6.313401,-4.845280,-3.546822,-2.443340,-1.450276,-0.630115,-0.215640,-0.000000,0.298429,-0.113469,-0.566591,-1.401876,-2.402860,-3.511129,-4.812519,-6.282502,-7.788149
,-7.915146,-6.405907,-4.988176,-3.688428,-2.545256,-1.580984,-0.849634,-0.454011,0.051255,0.110521,-0.382187,-0.793893,-1.535834,-2.506425,-3.653585,-4.955919,-6.375400,-7.885882
,-8.184835,-6.697610,-5.274003,-4.005182,-2.890059,-1.935499,-1.219209,-0.704664,-0.473587,-0.454748,-0.666517,-1.178545,-1.897712,-2.855219,-3.972742,-5.243322,-6.668163,-8.156332
,-8.624117,-7.166493,-5.815879,-4.551508,-3.446326,-2.529359,-1.849114,-1.354936,-1.064570,-1.055494,-1.332633,-1.820449,-2.499270,-3.416308,-4.522220,-5.787308,-7.138613,-8.596790
,-9.214715,-7.808664,-6.508089,-5.283635,-4.243337,-3.349110,-2.663300,-2.168159,-1.928441,-1.923063,-2.153474,-2.642509,-3.325101,-4.217876,-5.257674,-6.481971,-7.782633,-9.188827
,-9.971418,-8.620438,-7.350448,-6.198401,-5.204842,-4.351342,-3.662392,-3.248554,-2.982851,-2.979122,-3.237866,-3.646578,-4.331935,-5.183226,-6.175495,-7.326771,-8.596336,-9.947075
,-10.844411,-9.557887,-8.355739,-7.283401,-6.304688,-5.519590,-4.879656,-4.451944,-4.234564,-4.231720,-4.443762,-4.867025,-5.503507,-6.286144,-7.263136,-8.334333,-9.535689,-10.821666
,-11.818379,-10.606694,-9.477940,-8.457080,-7.566290,-6.794412,-6.211962,-5.822186,-5.631576,-5.629342,-5.815615,-6.201538,-6.780821,-7.550184,-8.439092,-9.458544,-10.586257,-11.797204

